kon_0,koff_0,avg_connections
0,0,0
0,5,0
0,10,0
0,15,0
0,20,0
0,25,0
0,30,0
0,35,0
0,40,0
0,45,0
0,50,0
0,55,0
0,60,0
0,65,0
0,70,0
0,75,0
0,80,0
0,85,0
0,90,0
0,95,0
0,100,0
5,0,8.0298
5,5,1.2764
5,10,0.7054
5,15,0.4712
5,20,0.4082
5,25,0.303
5,30,0.247
5,35,0.22
5,40,0.1706
5,45,0.1974
5,50,0.1598
5,55,0.1234
5,60,0.1362
5,65,0.1292
5,70,0.1002
5,75,0.1088
5,80,0.116
5,85,0.0976
5,90,0.0804
5,95,0.0952
5,100,0.1002
10,0,8.5032
10,5,2.2406
10,10,1.3154
10,15,1.029
10,20,0.8012
10,25,0.7546
10,30,0.605
10,35,0.4576
10,40,0.429
10,45,0.3588
10,50,0.2506
10,55,0.3012
10,60,0.3016
10,65,0.2424
10,70,0.2462
10,75,0.193
10,80,0.19
10,85,0.1828
10,90,0.2046
10,95,0.1698
10,100,0.1746
15,0,8.3076
15,5,2.8872
15,10,2.0312
15,15,1.42
15,20,1.2062
15,25,0.923
15,30,0.7418
15,35,0.6106
15,40,0.5932
15,45,0.511
15,50,0.4842
15,55,0.4802
15,60,0.4112
15,65,0.3808
15,70,0.396
15,75,0.3406
15,80,0.3206
15,85,0.2932
15,90,0.304
15,95,0.2372
15,100,0.245
20,0,9.0214
20,5,3.4614
20,10,2.3322
20,15,1.7
20,20,1.4362
20,25,1.2146
20,30,1.044
20,35,0.82
20,40,0.7824
20,45,0.7774
20,50,0.627
20,55,0.5588
20,60,0.6058
20,65,0.452
20,70,0.444
20,75,0.4534
20,80,0.3432
20,85,0.3572
20,90,0.3638
20,95,0.3262
20,100,0.3408
25,0,8.7228
25,5,3.8644
25,10,2.896
25,15,1.9384
25,20,1.5054
25,25,1.6524
25,30,1.5136
25,35,1.0874
25,40,1.054
25,45,0.9608
25,50,0.7646
25,55,0.786
25,60,0.621
25,65,0.7112
25,70,0.5486
25,75,0.4988
25,80,0.596
25,85,0.478
25,90,0.4608
25,95,0.4068
25,100,0.4016
30,0,9.494
30,5,4.073
30,10,2.8734
30,15,2.4918
30,20,1.9504
30,25,1.7492
30,30,1.243
30,35,1.3252
30,40,0.9714
30,45,1.0076
30,50,0.922
30,55,0.8802
30,60,0.7902
30,65,0.7574
30,70,0.7374
30,75,0.6174
30,80,0.569
30,85,0.5432
30,90,0.6078
30,95,0.5494
30,100,0.5176
35,0,9.2454
35,5,4.5222
35,10,3.1816
35,15,2.7578
35,20,2.0234
35,25,1.8542
35,30,1.6704
35,35,1.3956
35,40,1.3886
35,45,1.233
35,50,1.074
35,55,0.9536
35,60,0.9174
35,65,0.8812
35,70,0.8724
35,75,0.7568
35,80,0.7164
35,85,0.6106
35,90,0.642
35,95,0.6062
35,100,0.6336
40,0,8.9788
40,5,4.6832
40,10,3.4444
40,15,2.8748
40,20,2.392
40,25,2.2358
40,30,1.827
40,35,1.6084
40,40,1.4296
40,45,1.2912
40,50,1.2664
40,55,1.1408
40,60,1.0594
40,65,0.9354
40,70,0.899
40,75,0.9046
40,80,0.778
40,85,0.699
40,90,0.6236
40,95,0.7118
40,100,0.6438
45,0,8.9002
45,5,4.9222
45,10,3.802
45,15,3.047
45,20,2.6482
45,25,2.1272
45,30,2.0228
45,35,1.825
45,40,1.6924
45,45,1.3824
45,50,1.3328
45,55,1.2408
45,60,1.064
45,65,1.0062
45,70,1.0102
45,75,0.9698
45,80,0.889
45,85,0.9028
45,90,0.767
45,95,0.8168
45,100,0.748
50,0,9.533
50,5,5.0172
50,10,4.0334
50,15,3.203
50,20,2.7752
50,25,2.3502
50,30,2.2762
50,35,2.0914
50,40,1.7664
50,45,1.6688
50,50,1.4294
50,55,1.367
50,60,1.2802
50,65,1.2514
50,70,1.1532
50,75,1.1074
50,80,1.048
50,85,0.9758
50,90,0.8424
50,95,0.862
50,100,0.7914
55,0,8.8236
55,5,5.234
55,10,4.0218
55,15,3.5444
55,20,3.0568
55,25,2.7608
55,30,2.3434
55,35,2.055
55,40,1.8038
55,45,1.8518
55,50,1.3914
55,55,1.4786
55,60,1.353
55,65,1.2416
55,70,1.2314
55,75,1.0822
55,80,0.9968
55,85,1.0008
55,90,0.933
55,95,0.8804
55,100,0.8026
60,0,9.7646
60,5,5.2872
60,10,4.5012
60,15,3.6234
60,20,3.1996
60,25,2.6966
60,30,2.517
60,35,1.9922
60,40,2.0526
60,45,1.8676
60,50,1.8894
60,55,1.5462
60,60,1.46
60,65,1.4868
60,70,1.2574
60,75,1.1672
60,80,1.179
60,85,1.104
60,90,1.0904
60,95,1.0224
60,100,0.9466
65,0,8.6372
65,5,5.543
65,10,4.3302
65,15,3.8784
65,20,3.3164
65,25,2.7916
65,30,2.6402
65,35,2.438
65,40,2.2128
65,45,1.927
65,50,1.8598
65,55,1.61
65,60,1.6656
65,65,1.3684
65,70,1.3858
65,75,1.3824
65,80,1.2536
65,85,1.2096
65,90,1.1012
65,95,1.0634
65,100,0.9782
70,0,8.8536
70,5,5.508
70,10,4.5938
70,15,3.934
70,20,3.2244
70,25,2.9734
70,30,2.7504
70,35,2.2038
70,40,2.3154
70,45,2.0284
70,50,1.849
70,55,1.7602
70,60,1.5896
70,65,1.6828
70,70,1.527
70,75,1.383
70,80,1.4036
70,85,1.2662
70,90,1.25
70,95,1.2024
70,100,1.0798
75,0,9.4346
75,5,5.618
75,10,4.6328
75,15,3.9394
75,20,3.4676
75,25,2.985
75,30,2.8142
75,35,2.4948
75,40,2.332
75,45,2.0772
75,50,2.1156
75,55,1.855
75,60,1.7444
75,65,1.7052
75,70,1.5592
75,75,1.4594
75,80,1.4818
75,85,1.2936
75,90,1.2662
75,95,1.2404
75,100,1.1488
80,0,9.5272
80,5,5.7492
80,10,4.7572
80,15,3.9898
80,20,3.398
80,25,3.3354
80,30,2.9504
80,35,2.6966
80,40,2.2872
80,45,2.2672
80,50,2.128
80,55,1.9664
80,60,1.971
80,65,1.7188
80,70,1.5904
80,75,1.6394
80,80,1.6292
80,85,1.3656
80,90,1.2042
80,95,1.3088
80,100,1.3692
85,0,9.7386
85,5,5.82
85,10,4.7734
85,15,4.2206
85,20,3.5224
85,25,3.323
85,30,3.2348
85,35,2.7338
85,40,2.6752
85,45,2.4766
85,50,2.3484
85,55,2.0434
85,60,1.9644
85,65,1.8952
85,70,1.5202
85,75,1.6496
85,80,1.6336
85,85,1.5732
85,90,1.426
85,95,1.4198
85,100,1.293
90,0,9.819
90,5,6.0882
90,10,5.0868
90,15,4.257
90,20,4.0032
90,25,3.5602
90,30,3.2044
90,35,2.752
90,40,2.6134
90,45,2.3934
90,50,2.264
90,55,2.0738
90,60,2.0004
90,65,1.9716
90,70,1.9544
90,75,1.7968
90,80,1.6002
90,85,1.5616
90,90,1.512
90,95,1.4668
90,100,1.284
95,0,9.5676
95,5,5.975
95,10,4.849
95,15,4.5126
95,20,3.959
95,25,3.681
95,30,3.0582
95,35,2.9896
95,40,2.7484
95,45,2.663
95,50,2.3728
95,55,2.2668
95,60,2.1748
95,65,2.0576
95,70,1.5798
95,75,1.6122
95,80,1.7568
95,85,1.4106
95,90,1.6058
95,95,1.4196
95,100,1.369
100,0,9.2
100,5,5.9852
100,10,5.1536
100,15,4.4012
100,20,4.0632
100,25,3.6966
100,30,3.5382
100,35,3.0314
100,40,2.8038
100,45,2.5928
100,50,2.457
100,55,2.391
100,60,2.2368
100,65,2.1634
100,70,1.9504
100,75,1.9008
100,80,1.8058
100,85,1.6004
100,90,1.6412
100,95,1.5624
100,100,1.5982
